"word","word_count"
"An",296
"effect",723
"player",1827
"loses",66
"game.",181
"104.3f",1
"If",1165
"player",1827
"win",12
"lose",53
"game",484
"simultaneously,",9
"player",1827
"loses",66
"game.",181
"104.3g",1
"In",212
"multiplayer",93
"game",484
"teams,",9
"team",172
"loses",66
"game",484
"players",220
"team",172
"lost",7
"game.",181
"104.3h",1
"In",212
"multiplayer",93
"game",484
"limited",34
"range",101
"influence",58
"option",48
"(see",274
"rule",1655
"801),",2
"effect",723
"player",1827
"wins",18
"game",484
"player’s",301
"opponents",31
"player’s",301
"range",101
"influence",58
"lose",53
"game.",181
"This",265
"game",484
"end.",5
"104.3i",1
"In",212
"Emperor",22
"game,",186
"team",172
"loses",66
"game",484
"emperor",9
"loses",66
"game.",181
"(See",177
"rule",1655
"809.5.)",3
"104.3j",1
"In",212
"Commander",57
"game,",186
"player",1827
"who’s",11
"dealt",131
"21",5
"combat",235
"damage",446
"commander",51
"game",484
"loses",66
"game.",181
"(This",20
"state-based",98
"action.",58
"See",1025
"rule",1655
"704.",21
"See",1025
"rule",1655
"903.10.)",1
"104.3k",1
"In",212
"tournament,",3
"player",1827
"lose",53
"game",484
"result",83
"penalty",1
"judge.",1
"See",1025
"rule",1655
"100.6.",7
"104.4.",2
"There",35
"game",484
"draw.",9
"104.4a",1
"If",1165
"players",220
"remaining",35
"game",484
"lose",53
"simultaneously,",9
"game",484
"draw.",9
"104.4b",2
"If",1165
"game",484
"that’s",167
"limited",34
